micro_agg,neg_corr,precision,accuracy,recall,tau,u,auc,eor,dpr,epsilon,eOdds,f,f1,k
0.0,0.0,0.7899604726944564,0.7440000000000001,0.8621579627719335,0.1,18.6,0.664209975107651,0.06385589318354082,0.1158113244825969,,0.2377256696384566,41.4,0.8243322177788824,
1.0,0.0,0.7157307993730407,0.6859999999999999,0.9137395763804228,0.1,18.6,0.5315202262924583,0.10371913876441012,0.0717907136411969,,0.16478922255895204,41.4,0.8020720389385131,
0.0,1.0,0.7899604726944564,0.7440000000000001,0.8621579627719335,0.1,18.6,0.664209975107651,0.06385589318354082,0.1158113244825969,,0.2377256696384566,41.4,0.8243322177788824,
1.0,1.0,0.7157307993730407,0.6859999999999999,0.9137395763804228,0.1,18.6,0.5315202262924583,0.10371913876441012,0.0717907136411969,,0.16478922255895204,41.4,0.8020720389385131,
0.0,0.0,0.7926791331782007,0.747,0.8639700130737703,0.1,21.6,0.6684493335919027,0.07096055258097432,0.12536986915796522,,0.25161790608662504,48.4,0.8265778646698079,
1.0,0.0,0.7065765397464163,0.6729999999999999,0.9074010962843646,0.1,21.6,0.5139129683217161,0.061154327807052815,0.039341586322627874,,0.1120174089332918,48.4,0.7943927416091066,
0.0,1.0,0.7926791331782007,0.747,0.8639700130737703,0.1,21.6,0.6684493335919027,0.07096055258097432,0.12536986915796522,,0.25161790608662504,48.4,0.8265778646698079,
1.0,1.0,0.7065765397464163,0.6729999999999999,0.9074010962843646,0.1,21.6,0.5139129683217161,0.061154327807052815,0.039341586322627874,,0.1120174089332918,48.4,0.7943927416091066,
0.0,0.0,0.7807483547062708,0.7390000000000001,0.8712328510196988,0.1,24.8,0.650694578657823,0.06916795959847541,0.11306438876065487,,0.21850162099096035,55.2,0.8233322246480308,
1.0,0.0,0.7156404102261413,0.6869999999999999,0.914973420344699,0.1,24.8,0.5342718522585287,0.03408353063426377,0.06198528239636065,,0.14949128690889313,55.2,0.8028340318493653,
0.0,1.0,0.7807483547062708,0.7390000000000001,0.8712328510196988,0.1,24.8,0.650694578657823,0.06916795959847541,0.11306438876065487,,0.21850162099096035,55.2,0.8233322246480308,
1.0,1.0,0.7156404102261413,0.6869999999999999,0.914973420344699,0.1,24.8,0.5342718522585287,0.03408353063426377,0.06198528239636065,,0.14949128690889313,55.2,0.8028340318493653,
0.0,0.0,0.7931718503119619,0.755,0.8782177931990651,0.1,28.0,0.6720883751697018,0.04756321179453375,0.10444379452204222,,0.2135773595114679,62.0,0.8333795454770234,
1.0,0.0,0.698186282274632,0.645,0.8680700099478335,0.1,28.0,0.4978509790327445,0.05927535678035122,0.04719960470741029,,0.13326607682370284,62.0,0.7715333467866687,
0.0,1.0,0.7931718503119619,0.755,0.8782177931990651,0.1,28.0,0.6720883751697018,0.04756321179453375,0.10444379452204222,,0.2135773595114679,62.0,0.8333795454770234,
1.0,1.0,0.698186282274632,0.645,0.8680700099478335,0.1,28.0,0.4978509790327445,0.05927535678035122,0.04719960470741029,,0.13326607682370284,62.0,0.7715333467866687,
0.0,0.0,0.7847805962707618,0.743,0.8712227193074394,0.1,31.2,0.6574126766435013,0.05386303060933588,0.11131076347761784,,0.22602459509288175,68.8,0.8255070336228503,
1.0,0.0,0.6997243783196381,0.6449999999999999,0.8630889770280433,0.1,31.2,0.4992828766963765,0.08059134375110774,0.09118137981875296,,0.20621971648474366,68.8,0.7721716434512482,
0.0,1.0,0.7847805962707618,0.743,0.8712227193074394,0.1,31.2,0.6574126766435013,0.05386303060933588,0.11131076347761784,,0.22602459509288175,68.8,0.8255070336228503,
1.0,1.0,0.6997243783196381,0.6449999999999999,0.8630889770280433,0.1,31.2,0.4992828766963765,0.08059134375110774,0.09118137981875296,,0.20621971648474366,68.8,0.7721716434512482,
0.0,0.0,0.7799551616721809,0.7369999999999999,0.8679113778577037,0.1,,0.6487646947472177,0.0673207261872488,0.09915036935660708,,0.19227214819749436,,0.8213422046235964,10.0
1.0,0.0,0.7289170350866442,0.7040000000000001,0.9201135634390452,0.1,,0.5602157710563515,0.11651018265376578,0.15864147057999226,,0.3430083703593838,,0.8126430626018655,10.0
0.0,1.0,0.8074961545990995,0.741,0.8267337823649366,0.1,,0.6829847111734226,0.046618688215744115,0.07917621342826775,,0.12646523091058398,,0.8166792187770205,10.0
1.0,1.0,0.7707806863667719,0.6489999999999999,0.7302025790815998,0.1,,0.6008032113646544,0.06279289218806712,0.06570060047363263,,0.21158380827000486,,0.7344011257867974,10.0
0.0,0.0,0.7885700423827198,0.7470000000000001,0.8708437086847713,0.1,,0.6640752361237715,0.0653519974842482,0.116229389091994,,0.2631086772068722,,0.8274543037986142,20.0
1.0,0.0,0.7150697256316373,0.6689999999999999,0.8726629854165863,0.1,,0.5316917867695736,0.0967866574430042,0.13169263557420602,,0.2968511735291921,,0.78478092049637,20.0
0.0,1.0,0.8022262917716987,0.738,0.8293279052363116,0.1,,0.6757686755366911,0.06306082517543468,0.10550803784851924,,0.20631148627439294,,0.8149663336748606,20.0
1.0,1.0,0.7273542171121105,0.623,0.7406299681706099,0.1,,0.5408356856621663,0.07981884133481773,0.11213933074474676,,0.27297779197054856,,0.7323750013144933,20.0
0.0,0.0,0.7912797650892889,0.7470000000000001,0.8668530828170941,0.1,,0.6665236521568089,0.06009775570147088,0.10490398413242304,,0.2240297372185917,,0.8271517832067229,30.0
1.0,0.0,0.7089409112653962,0.6910000000000001,0.9468564661838016,0.1,,0.5188815520134715,0.03571648835227317,0.04655711326744216,,0.12116231011388442,,0.8104915537994424,30.0
0.0,1.0,0.7932815282850819,0.7430000000000001,0.8549083273113082,0.1,,0.6659142898352339,0.05469011896256477,0.11638221178712133,,0.2481474241226563,,0.8225363905906715,30.0
1.0,1.0,0.7205593474730306,0.6519999999999999,0.8300858161544727,0.1,,0.5298612662095333,0.05769950018048624,0.06078553190762555,,0.1630075370984303,,0.7610225113230298,30.0
0.0,0.0,0.7946919846260501,0.7490000000000001,0.8636169293372831,0.1,,0.6717350260067889,0.058814269516530175,0.10535349929353437,,0.2319420346102396,,0.8275047187686224,40.0
1.0,0.0,0.7166403947317429,0.682,0.9046865880769422,0.1,,0.5348351490929367,0.15914416423254554,0.1516440901218145,,0.29480327092880404,,0.7980733305665082,40.0
0.0,1.0,0.7976002620309718,0.75,0.8607800499046588,0.1,,0.6754013320531886,0.06273583814398112,0.11725826119829633,,0.2409056200444132,,0.8276499093312358,40.0
1.0,1.0,0.7324586288416077,0.6709999999999999,0.8479489994244599,0.1,,0.555618897139577,0.13742470721897093,0.1252552012329256,,0.27000258142223216,,0.7787559739942497,40.0
0.0,0.0,0.7906527057507617,0.743,0.8593835469083567,0.1,,0.6644894338425293,0.06515705553476453,0.12041713382978556,,0.2628636099441053,,0.8233806007535028,50.0
