accuracy,f1,precision,recall,auc,dpr,eor,eOdds,kf,t,k,u,f,lf,nc,m,e
0.6,0.7078344163688848,0.7199877622922198,0.6969425213804872,0.5335041854347797,0.07186448910792793,0.11355918382426941,0.17976084988661656,2,0.6,20.0,0.0,0.0,0.0,0.0,0.0,1.0
0.532,0.6257138040452744,0.6721814782671693,0.6091101745559792,0.48185740465872834,0.04352928162600149,0.03812536121315839,0.1819853423796411,2,0.6,20.0,0.0,0.0,0.0,0.0,1.0,1.0
0.55,0.6740561170520819,0.6831251788004394,0.670152159562516,0.47246571097812423,0.06755973704415308,0.08149268215930988,0.14489640875189097,2,0.6,20.0,0.0,0.0,0.0,1.0,0.0,1.0
0.548,0.6648092778221721,0.6901280540408747,0.6417610239832892,0.4840413257962732,0.07085685340703307,0.07741195899335977,0.13121549273497402,2,0.6,20.0,0.0,0.0,0.0,1.0,1.0,1.0
0.593,0.7133864556249174,0.6999274667880784,0.7302430507670497,0.49734963751930206,0.047904448314877925,0.08197906245736142,0.12159907831576737,2,0.7,20.0,0.0,0.0,0.0,0.0,0.0,1.0
0.583,0.6991995249732534,0.707776996812711,0.6973315533882394,0.5107647195760123,0.0948792317227078,0.10940088232476808,0.22255738911904577,2,0.7,20.0,0.0,0.0,0.0,0.0,1.0,1.0
0.565,0.6489108124244588,0.728205632814602,0.5976951733699619,0.5418507526732216,0.11341938562239444,0.12686153101527836,0.24000471621728706,2,0.7,20.0,0.0,0.0,0.0,1.0,0.0,1.0
0.584,0.6718778199623804,0.7441781943825883,0.628809459452005,0.5577180552401881,0.07114776948449718,0.07715871396810703,0.1681315820152785,2,0.7,20.0,0.0,0.0,0.0,1.0,1.0,1.0
0.565,0.6758350228442219,0.689960446619737,0.6700978234287112,0.49009111211451195,0.07706210619940324,0.10659617312155426,0.18023925671819824,2,0.8,20.0,0.0,0.0,0.0,0.0,0.0,1.0
0.591,0.7065159241534914,0.7102699650214449,0.7048680578923465,0.5159812772961031,0.057670162857780816,0.08473200474649156,0.15180745038230872,2,0.8,20.0,0.0,0.0,0.0,0.0,1.0,1.0
0.575,0.674609492662974,0.7326690764743596,0.6284612484990907,0.5419247805865046,0.08427705091336467,0.08323799281635602,0.1490102932016595,2,0.8,20.0,0.0,0.0,0.0,1.0,0.0,1.0
0.569,0.6565230898804906,0.7294459388380448,0.6048374237133552,0.5403317660004425,0.06602993207159037,0.09520317627216399,0.24820277914792785,2,0.8,20.0,0.0,0.0,0.0,1.0,1.0,1.0
0.6169999999999999,0.7287197505782421,0.7135871604477032,0.7492487454880782,0.5298001885801129,0.07510966806148063,0.05500089105486614,0.1868179203796354,2,0.9,20.0,0.0,0.0,0.0,0.0,0.0,1.0
0.571,0.6813125202970405,0.6927660391168773,0.6915838385398565,0.48891758523900436,0.07370499764702079,0.11019706156594992,0.18650338779487674,2,0.9,20.0,0.0,0.0,0.0,0.0,1.0,1.0
0.587,0.6834181539338366,0.7276427911707818,0.6469726406993271,0.5438221987389191,0.1304934198374643,0.12252317723361594,0.2512062720931814,2,0.9,20.0,0.0,0.0,0.0,1.0,0.0,1.0
0.542,0.6493159106775286,0.6959294255318258,0.6169612770002777,0.49740646391850163,0.08983496156043794,0.101285063308546,0.18618539043797527,2,0.9,20.0,0.0,0.0,0.0,1.0,1.0,1.0
0.609,0.7307473038999105,0.7055373469718936,0.7607198664305665,0.5082666630483981,0.09055107875753483,0.12204938311229566,0.22924279058434088,2,1.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0
0.6,0.7089939911237132,0.7215003486128959,0.6993822045943914,0.5301030257308748,0.06519593886663497,0.06390877047480818,0.15963469764036384,2,1.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0
0.525,0.6420729412845254,0.6756065547546345,0.6127429358429087,0.4657747979584804,0.10964743328852336,0.14383330191496552,0.22447261216727887,2,1.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0
0.48200000000000004,0.5414872760217817,0.6747684406238499,0.46424524260026445,0.4924096300161821,0.10892259660028687,0.1176016437690601,0.20536093999584856,2,1.0,20.0,0.0,0.0,0.0,1.0,1.0,1.0
0.583,0.7001101409462069,0.702955246202002,0.6977957182023291,0.5058996375739776,0.09079482154129084,0.10237571589122496,0.17954209500806845,2,0.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0
0.5760000000000001,0.6927884844756509,0.7027335928399258,0.6846406551963179,0.5054300103094101,0.07250143059453339,0.07397964845806426,0.15141394697595412,2,0.0,30.0,0.0,0.0,0.0,0.0,1.0,1.0
0.587,0.7108340102811662,0.6900142411669747,0.7365916257996421,0.48749484853826985,0.06491301818065887,0.08915046374010098,0.18973600283957198,2,0.0,30.0,0.0,0.0,0.0,1.0,0.0,1.0
0.538,0.6421465158114724,0.6940031532564712,0.6032244220235107,0.4963015915359449,0.07574697100040137,0.0889855016892811,0.20218779730643738,2,0.0,30.0,0.0,0.0,0.0,1.0,1.0,1.0
0.5810000000000001,0.7004282863139689,0.6963476324781159,0.7087508205583658,0.4917031015608332,0.025943866633583456,0.0730511534535134,0.16290723908359286,2,0.1,30.0,0.0,0.0,0.0,0.0,0.0,1.0
0.58,0.7039231643234044,0.6923644877070421,0.7185318027276555,0.48871702785770654,0.08407658710102946,0.10549428239199839,0.19318058877799518,2,0.1,30.0,0.0,0.0,0.0,0.0,1.0,1.0
0.569,0.6814841830877459,0.7047899843505478,0.6607527071530624,0.5050024526650639,0.11433554259566436,0.14222474282407688,0.2552274602695188,2,0.1,30.0,0.0,0.0,0.0,1.0,0.0,1.0
0.5509999999999999,0.6721126766136487,0.6874609427321887,0.6585941927452527,0.47953719020239893,0.1022233153864435,0.11740250851951302,0.23845885234675465,2,0.1,30.0,0.0,0.0,0.0,1.0,1.0,1.0
0.6079999999999999,0.7217022568657663,0.7155647329308078,0.7309232913538433,0.5261597729143861,0.07725873701550838,0.09011320098533131,0.16564321574135227,2,0.2,30.0,0.0,0.0,0.0,0.0,0.0,1.0
0.5509999999999999,0.6584094238852496,0.7001165309186708,0.6310414149827982,0.5017298773585501,0.16143105542780287,0.18377177383824966,0.37955675165109126,2,0.2,30.0,0.0,0.0,0.0,0.0,1.0,1.0
0.583,0.7021084723457853,0.7027103421357237,0.7023906427845108,0.5000437985749091,0.08988128153615534,0.09284725345336367,0.19808396738976802,2,0.2,30.0,0.0,0.0,0.0,1.0,0.0,1.0
0.634,0.7461414318969166,0.7271270850682615,0.7700080354959298,0.5466042599882275,0.1175532889851066,0.09221817456644257,0.2609857413371054,2,0.2,30.0,0.0,0.0,0.0,1.0,1.0,1.0
0.573,0.6935653673578284,0.6979871077826998,0.6920457784225789,0.49549984955594517,0.09221393668404373,0.11063349200857234,0.259045818532354,2,0.3,30.0,0.0,0.0,0.0,0.0,0.0,1.0
0.535,0.6200350684653178,0.6993219995124964,0.565309532084062,0.5086079738090511,0.06754020230315702,0.06264474698799136,0.15690520603173214,2,0.3,30.0,0.0,0.0,0.0,0.0,1.0,1.0
0.554,0.665475331598573,0.6919454060145807,0.6460872283423158,0.4927309249209529,0.12870986450629235,0.13874035953596678,0.2511043511259645,2,0.3,30.0,0.0,0.0,0.0,1.0,0.0,1.0
