k,u,f,tau,neg_corr,micro_agg,epsilon,perf_name,perf_val,fair_name,fair_val
10.0,,,0.2,0.0,1.0,,accuracy,0.8437087175111128,dpr,0.17157984019724132
10.0,,,0.2,1.0,0.0,,accuracy,0.8429715036002461,dpr,0.0975362040457482
10.0,,,0.2,1.0,1.0,,accuracy,0.8441385891984694,dpr,0.13420434423083755
20.0,,,0.2,0.0,0.0,,accuracy,0.8493595025032151,dpr,0.1587988163951043
20.0,,,0.2,0.0,1.0,,accuracy,0.8260495074866332,dpr,0.1942069807537712
20.0,,,0.2,1.0,0.0,,accuracy,0.8408524804482888,dpr,0.081692459149756
20.0,,,0.2,1.0,1.0,,accuracy,0.819200613137739,dpr,0.12793518285960706
30.0,,,0.2,0.0,0.0,,accuracy,0.8488373989122492,dpr,0.16599271038110133
30.0,,,0.2,0.0,1.0,,accuracy,0.8097416346667844,dpr,0.225188490173536
30.0,,,0.2,1.0,0.0,,accuracy,0.8423880268191646,dpr,0.09237583927099872
30.0,,,0.2,1.0,1.0,,accuracy,0.8059639745268488,dpr,0.13077531963677766
40.0,,,0.2,0.0,0.0,,accuracy,0.8505572157518266,dpr,0.17050551565859368
40.0,,,0.2,0.0,1.0,,accuracy,0.8096190297537603,dpr,0.21834134063774385
40.0,,,0.2,1.0,0.0,,accuracy,0.8460120205629188,dpr,0.11041225138775254
40.0,,,0.2,1.0,1.0,,accuracy,0.802370952670354,dpr,0.1618857611133419
50.0,,,0.2,0.0,0.0,,accuracy,0.8497587606869044,dpr,0.1731632770719045
50.0,,,0.2,0.0,1.0,,accuracy,0.8016645738951128,dpr,0.2385268431620456
50.0,,,0.2,1.0,0.0,,accuracy,0.8462269611221707,dpr,0.11682494050486535
50.0,,,0.2,1.0,1.0,,accuracy,0.7992995817097613,dpr,0.16151804673143105
60.0,,,0.2,0.0,0.0,,accuracy,0.8509564645043687,dpr,0.1736484924989251
60.0,,,0.2,0.0,1.0,,accuracy,0.7932798973966638,dpr,0.22911919782058954
60.0,,,0.2,1.0,0.0,,accuracy,0.8469333587597059,dpr,0.12897148664028948
60.0,,,0.2,1.0,1.0,,accuracy,0.7937405712106311,dpr,0.18838058843792369
70.0,,,0.2,0.0,0.0,,accuracy,0.8504036813917054,dpr,0.1749955839849056
