tau,accuracy,f1,precision,recall,auc,dpr,eor,eOdds,kf,k,u,f,lf,nc,m
0.1,0.6777184887731054,0.7194925979628781,0.6759074282195858,0.7697810657365375,0.6705551605268659,0.1758593525450445,0.1082768149827614,0.30342917255407686,2,0.0,33.0,17.0,0.0,0.0,0.0
0.1,0.6675839462794112,0.7175782699205863,0.6601978663413286,0.7863344750109575,0.65814331280276,0.35609381235337423,0.25737776050005884,0.6809932957964544,2,0.0,33.0,17.0,0.0,0.0,1.0
0.1,0.6777184887731054,0.7194925979628781,0.6759074282195858,0.7697810657365375,0.6705551605268659,0.1758593525450445,0.1082768149827614,0.30342917255407686,2,0.0,33.0,17.0,0.0,1.0,0.0
0.1,0.6675839462794112,0.7175782699205863,0.6601978663413286,0.7863344750109575,0.65814331280276,0.35609381235337423,0.25737776050005884,0.6809932957964544,2,0.0,33.0,17.0,0.0,1.0,1.0
0.1,0.6774294723406663,0.7191954320697407,0.675779134373584,0.769471203086686,0.6702320396820086,0.17329351573037716,0.10502089744282717,0.2982491020410783,2,0.0,39.2,20.8,0.0,0.0,0.0
0.1,0.6738105842051156,0.7244992621411002,0.6633136801657795,0.798536963617871,0.6639228219530411,0.34282886447264466,0.24358374712785183,0.6514950706081316,2,0.0,39.2,20.8,0.0,0.0,1.0
0.1,0.6774294723406663,0.7191954320697407,0.675779134373584,0.769471203086686,0.6702320396820086,0.17329351573037716,0.10502089744282717,0.2982491020410783,2,0.0,39.2,20.8,0.0,1.0,0.0
0.1,0.6738105842051156,0.7244992621411002,0.6633136801657795,0.798536963617871,0.6639228219530411,0.34282886447264466,0.24358374712785183,0.6514950706081316,2,0.0,39.2,20.8,0.0,1.0,1.0
0.1,0.6788769647196655,0.720062671476207,0.6774451126105084,0.7692315003605035,0.6718635419961907,0.17595135201926365,0.10812514466657205,0.3033292224832921,2,0.0,46.0,24.0,0.0,0.0,0.0
0.1,0.671348180967461,0.7236191379044582,0.6601605592104169,0.800974830341989,0.6611262184008762,0.3385729240386997,0.23805410541343583,0.64486171882454,2,0.0,46.0,24.0,0.0,0.0,1.0
0.1,0.6788769647196655,0.720062671476207,0.6774451126105084,0.7692315003605035,0.6718635419961907,0.17595135201926365,0.10812514466657205,0.3033292224832921,2,0.0,46.0,24.0,0.0,1.0,0.0
0.1,0.671348180967461,0.7236191379044582,0.6601605592104169,0.800974830341989,0.6611262184008762,0.3385729240386997,0.23805410541343583,0.64486171882454,2,0.0,46.0,24.0,0.0,1.0,1.0
0.1,0.6767056737551491,0.717669684706868,0.6761183237573385,0.7651443358246574,0.6697058858492161,0.17598483382435062,0.10862186559384963,0.303474845498228,2,0.0,52.2,27.8,0.0,0.0,0.0
0.1,0.6712038823353115,0.7232387997401064,0.6604460873850149,0.7996922886779013,0.6611035558322061,0.3349795610885716,0.23587336841626422,0.6369873390453467,2,0.0,52.2,27.8,0.0,0.0,1.0
0.1,0.6767056737551491,0.717669684706868,0.6761183237573385,0.7651443358246574,0.6697058858492161,0.17598483382435062,0.10862186559384963,0.303474845498228,2,0.0,52.2,27.8,0.0,1.0,0.0
0.1,0.6712038823353115,0.7232387997401064,0.6604460873850149,0.7996922886779013,0.6611035558322061,0.3349795610885716,0.23587336841626422,0.6369873390453467,2,0.0,52.2,27.8,0.0,1.0,1.0
0.1,0.6758368429932377,0.7177945548311756,0.6742193598953286,0.7678282865232916,0.6685542822262577,0.17004504554632516,0.10400331931337929,0.2919091530665385,2,0.0,59.2,30.8,0.0,0.0,0.0
0.1,0.6759812464174223,0.727415621008239,0.6638748348382519,0.804729671248451,0.6657838852850987,0.333947791459158,0.23004545354755696,0.6343108939272091,2,0.0,59.2,30.8,0.0,0.0,1.0
0.1,0.6758368429932377,0.7177945548311756,0.6742193598953286,0.7678282865232916,0.6685542822262577,0.17004504554632516,0.10400331931337929,0.2919091530665385,2,0.0,59.2,30.8,0.0,1.0,0.0
0.1,0.6759812464174223,0.727415621008239,0.6638748348382519,0.804729671248451,0.6657838852850987,0.333947791459158,0.23004545354755696,0.6343108939272091,2,0.0,59.2,30.8,0.0,1.0,1.0
